Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530100707
Firmware Version,2.8
Calibration Date,06/27/2011
Test Name,8530C_2-5_009
Test Start Time,02:24:42 PM
Test Start Date,03/26/2012
Test Length [D:H:M],0:0:11
Test Interval [M:S],0:1
Mass Average [mg/m3],0.004
Mass Minimum [mg/m3],0.001
Mass Maximum [mg/m3],0.013
Mass TWA [mg/m3],0.000
Photometric User Cal,1.00
Flow User Cal,1.00
Errors,
Number of Samples,715

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
1,0.003,,
2,0.003,,
3,0.003,,
4,0.003,,
5,0.002,,
6,0.002,,
7,0.002,,
8,0.003,,
9,0.003,,
10,0.004,,
11,0.004,,
12,0.002,,
13,0.002,,
14,0.003,,
15,0.002,,
16,0.002,,
17,0.003,,
18,0.003,,
19,0.002,,
20,0.005,,
21,0.005,,
22,0.002,,
23,0.002,,
24,0.002,,
25,0.002,,
26,0.003,,
27,0.003,,
28,0.002,,
29,0.003,,
30,0.002,,
31,0.002,,
32,0.002,,
33,0.003,,
34,0.003,,
35,0.002,,
36,0.002,,
37,0.003,,
38,0.002,,
39,0.002,,
40,0.003,,
41,0.003,,
42,0.003,,
43,0.002,,
44,0.002,,
45,0.002,,
46,0.003,,
47,0.004,,
48,0.003,,
49,0.003,,
50,0.002,,
51,0.002,,
52,0.002,,
53,0.002,,
54,0.002,,
55,0.002,,
56,0.002,,
57,0.003,,
58,0.003,,
59,0.003,,
60,0.004,,
61,0.004,,
62,0.004,,
63,0.003,,
64,0.003,,
65,0.003,,
66,0.003,,
67,0.003,,
68,0.003,,
69,0.003,,
70,0.003,,
71,0.003,,
72,0.003,,
73,0.003,,
74,0.003,,
75,0.004,,
76,0.003,,
77,0.002,,
78,0.003,,
79,0.003,,
80,0.003,,
81,0.003,,
82,0.003,,
83,0.003,,
84,0.003,,
85,0.003,,
86,0.003,,
87,0.003,,
88,0.003,,
89,0.004,,
90,0.003,,
91,0.003,,
92,0.003,,
93,0.003,,
94,0.003,,
95,0.003,,
96,0.004,,
97,0.003,,
98,0.003,,
99,0.003,,
100,0.003,,
101,0.002,,
102,0.003,,
103,0.004,,
104,0.003,,
105,0.002,,
106,0.003,,
107,0.003,,
108,0.003,,
109,0.003,,
110,0.002,,
111,0.002,,
112,0.003,,
113,0.003,,
114,0.003,,
115,0.003,,
116,0.003,,
117,0.003,,
118,0.004,,
119,0.004,,
120,0.003,,
121,0.003,,
122,0.003,,
123,0.003,,
124,0.002,,
125,0.003,,
126,0.003,,
127,0.002,,
128,0.003,,
129,0.003,,
130,0.003,,
131,0.004,,
132,0.004,,
133,0.003,,
134,0.004,,
135,0.004,,
136,0.004,,
137,0.004,,
138,0.003,,
139,0.002,,
140,0.003,,
141,0.003,,
142,0.003,,
143,0.003,,
144,0.003,,
145,0.003,,
146,0.003,,
147,0.003,,
148,0.003,,
149,0.003,,
150,0.003,,
151,0.003,,
152,0.003,,
153,0.003,,
154,0.004,,
155,0.003,,
156,0.003,,
157,0.003,,
158,0.004,,
159,0.003,,
160,0.003,,
161,0.003,,
162,0.003,,
163,0.003,,
164,0.003,,
165,0.003,,
166,0.003,,
167,0.002,,
168,0.003,,
169,0.003,,
170,0.003,,
171,0.003,,
172,0.003,,
173,0.003,,
174,0.003,,
175,0.004,,
176,0.003,,
177,0.003,,
178,0.003,,
179,0.003,,
180,0.004,,
181,0.004,,
182,0.003,,
183,0.003,,
184,0.003,,
185,0.003,,
186,0.002,,
187,0.003,,
188,0.003,,
189,0.003,,
190,0.003,,
191,0.004,,
192,0.004,,
193,0.003,,
194,0.004,,
195,0.003,,
196,0.003,,
197,0.003,,
198,0.003,,
199,0.004,,
200,0.003,,
201,0.003,,
202,0.003,,
203,0.003,,
204,0.003,,
205,0.003,,
206,0.003,,
207,0.003,,
208,0.003,,
209,0.003,,
210,0.003,,
211,0.003,,
212,0.003,,
213,0.003,,
214,0.003,,
215,0.003,,
216,0.003,,
217,0.004,,
218,0.003,,
219,0.003,,
220,0.003,,
221,0.003,,
222,0.004,,
223,0.004,,
224,0.004,,
225,0.003,,
226,0.003,,
227,0.003,,
228,0.004,,
229,0.004,,
230,0.003,,
231,0.004,,
232,0.003,,
233,0.003,,
234,0.003,,
235,0.003,,
236,0.004,,
237,0.003,,
238,0.003,,
239,0.004,,
240,0.003,,
241,0.003,,
242,0.004,,
243,0.004,,
244,0.004,,
245,0.004,,
246,0.004,,
247,0.003,,
248,0.004,,
249,0.004,,
250,0.004,,
251,0.005,,
252,0.004,,
253,0.003,,
254,0.004,,
255,0.005,,
256,0.004,,
257,0.004,,
