Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530094612
Firmware Version,2.4
Calibration Date,11/12/2009
Test Name,8530B_2-5_001
Test Start Time,01:18:12 PM
Test Start Date,04/23/2012
Test Length [D:H:M],0:0:24
Test Interval [M:S],0:1
Mass Average [mg/m3],0.008
Mass Minimum [mg/m3],0.004
Mass Maximum [mg/m3],0.018
Mass TWA [mg/m3],0.000
Photometric User Cal,1.00
Flow User Cal,1.00
Errors,
Number of Samples,1442

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
1,0.005,,
2,0.005,,
3,0.005,,
4,0.005,,
5,0.005,,
6,0.005,,
7,0.005,,
8,0.005,,
9,0.005,,
10,0.005,,
11,0.005,,
12,0.006,,
13,0.005,,
14,0.004,,
15,0.005,,
16,0.005,,
17,0.004,,
18,0.005,,
19,0.005,,
20,0.005,,
21,0.005,,
22,0.005,,
23,0.005,,
24,0.005,,
25,0.004,,
26,0.005,,
27,0.005,,
28,0.005,,
29,0.004,,
30,0.005,,
31,0.005,,
32,0.004,,
33,0.005,,
34,0.005,,
35,0.005,,
36,0.005,,
37,0.005,,
38,0.005,,
39,0.005,,
40,0.005,,
41,0.005,,
42,0.005,,
43,0.005,,
44,0.005,,
45,0.006,,
46,0.005,,
47,0.005,,
48,0.004,,
49,0.004,,
50,0.005,,
51,0.004,,
52,0.005,,
53,0.005,,
54,0.005,,
55,0.004,,
56,0.004,,
57,0.004,,
58,0.006,,
59,0.006,,
60,0.004,,
61,0.004,,
62,0.004,,
63,0.005,,
64,0.005,,
65,0.005,,
66,0.005,,
67,0.005,,
68,0.005,,
69,0.005,,
70,0.005,,
71,0.005,,
72,0.005,,
73,0.005,,
74,0.005,,
75,0.004,,
76,0.005,,
77,0.005,,
78,0.005,,
79,0.005,,
80,0.005,,
81,0.005,,
82,0.004,,
83,0.005,,
84,0.005,,
85,0.004,,
86,0.005,,
87,0.005,,
88,0.005,,
89,0.004,,
90,0.005,,
91,0.005,,
92,0.004,,
93,0.004,,
94,0.004,,
95,0.004,,
96,0.004,,
97,0.005,,
98,0.005,,
99,0.004,,
100,0.004,,
101,0.004,,
102,0.004,,
103,0.004,,
104,0.005,,
105,0.005,,
106,0.004,,
107,0.004,,
108,0.005,,
109,0.004,,
110,0.005,,
111,0.005,,
112,0.004,,
113,0.004,,
114,0.005,,
115,0.004,,
116,0.004,,
117,0.005,,
118,0.005,,
119,0.005,,
120,0.005,,
121,0.004,,
122,0.004,,
123,0.005,,
124,0.005,,
125,0.005,,
126,0.005,,
127,0.004,,
128,0.005,,
129,0.005,,
130,0.004,,
131,0.004,,
132,0.005,,
133,0.005,,
134,0.004,,
135,0.005,,
136,0.005,,
137,0.005,,
138,0.004,,
139,0.004,,
140,0.005,,
141,0.005,,
142,0.005,,
143,0.005,,
144,0.005,,
145,0.004,,
146,0.006,,
147,0.007,,
148,0.006,,
149,0.005,,
150,0.006,,
151,0.006,,
152,0.006,,
153,0.004,,
154,0.005,,
155,0.005,,
156,0.005,,
