Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530094612
Firmware Version,2.4
Calibration Date,11/12/2009
Test Name,8530B_2-5_006
Test Start Time,02:12:14 PM
Test Start Date,06/23/2011
Test Length [D:H:M],0:0:46
Test Interval [M:S],0:1
Mass Average [mg/m3],0.018
Mass Minimum [mg/m3],0.012
Mass Maximum [mg/m3],0.115
Mass TWA [mg/m3],0.002
Photometric User Cal,1.00
Flow User Cal,1.00
Errors,
Number of Samples,2805

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
1,0.019,,
2,0.017,,
3,0.102,,
4,0.115,,
5,0.016,,
6,0.018,,
7,0.017,,
8,0.018,,
9,0.018,,
10,0.017,,
11,0.016,,
12,0.017,,
13,0.018,,
14,0.018,,
15,0.019,,
16,0.019,,
17,0.019,,
18,0.019,,
19,0.017,,
20,0.018,,
21,0.018,,
22,0.016,,
23,0.017,,
24,0.017,,
25,0.018,,
26,0.019,,
27,0.019,,
28,0.017,,
29,0.018,,
30,0.019,,
31,0.017,,
32,0.018,,
33,0.019,,
34,0.017,,
35,0.017,,
36,0.017,,
37,0.019,,
38,0.019,,
39,0.018,,
40,0.020,,
41,0.020,,
42,0.017,,
43,0.018,,
44,0.019,,
45,0.019,,
46,0.018,,
47,0.018,,
48,0.018,,
49,0.022,,
50,0.025,,
51,0.018,,
52,0.017,,
53,0.019,,
54,0.019,,
55,0.017,,
56,0.018,,
57,0.019,,
58,0.020,,
59,0.018,,
60,0.017,,
61,0.017,,
62,0.018,,
63,0.019,,
64,0.018,,
65,0.016,,
66,0.016,,
67,0.017,,
68,0.016,,
69,0.017,,
70,0.016,,
71,0.016,,
72,0.015,,
73,0.018,,
74,0.018,,
75,0.017,,
76,0.017,,
77,0.017,,
78,0.017,,
79,0.018,,
80,0.018,,
81,0.016,,
82,0.016,,
83,0.016,,
84,0.018,,
85,0.017,,
86,0.017,,
87,0.016,,
88,0.015,,
89,0.017,,
90,0.017,,
91,0.016,,
92,0.016,,
93,0.016,,
94,0.018,,
95,0.019,,
96,0.017,,
97,0.017,,
98,0.016,,
99,0.017,,
100,0.017,,
101,0.017,,
102,0.017,,
103,0.020,,
104,0.018,,
105,0.017,,
106,0.019,,
107,0.019,,
108,0.017,,
109,0.017,,
110,0.018,,
111,0.016,,
112,0.016,,
113,0.017,,
114,0.016,,
115,0.018,,
116,0.020,,
117,0.017,,
118,0.017,,
119,0.017,,
120,0.017,,
121,0.016,,
122,0.016,,
123,0.018,,
124,0.017,,
125,0.017,,
126,0.016,,
127,0.016,,
128,0.017,,
129,0.018,,
130,0.018,,
131,0.017,,
132,0.018,,
133,0.018,,
134,0.017,,
135,0.016,,
136,0.017,,
137,0.017,,
138,0.018,,
139,0.017,,
140,0.016,,
141,0.019,,
142,0.019,,
143,0.017,,
144,0.016,,
145,0.017,,
146,0.017,,
147,0.016,,
148,0.016,,
149,0.018,,
150,0.017,,
151,0.018,,
152,0.017,,
153,0.017,,
154,0.018,,
155,0.019,,
156,0.016,,
157,0.015,,
158,0.018,,
159,0.017,,
160,0.016,,
161,0.017,,
162,0.017,,
163,0.017,,
164,0.019,,
165,0.020,,
