Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530091203
Firmware Version,2.6
Calibration Date,07/24/2010
Test Name,8530A_2-5_004
Test Start Time,04:43:30 PM
Test Start Date,07/06/2011
Test Length [D:H:M],0:0:54
Test Interval [M:S],0:1
Mass Average [mg/m3],0.015
Mass Minimum [mg/m3],0.012
Mass Maximum [mg/m3],0.191
Mass TWA [mg/m3],0.002
Photometric User Cal,1.00
Flow User Cal,1.00
Errors,
Number of Samples,3243

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
1,0.017,,
2,0.017,,
3,0.016,,
4,0.015,,
5,0.014,,
6,0.014,,
7,0.014,,
8,0.014,,
9,0.014,,
10,0.015,,
11,0.015,,
12,0.014,,
13,0.015,,
14,0.016,,
15,0.015,,
16,0.015,,
17,0.014,,
18,0.014,,
19,0.014,,
20,0.015,,
21,0.015,,
22,0.015,,
23,0.015,,
24,0.014,,
25,0.014,,
26,0.014,,
27,0.014,,
28,0.015,,
29,0.014,,
30,0.015,,
31,0.017,,
32,0.015,,
33,0.014,,
34,0.014,,
35,0.014,,
36,0.014,,
37,0.014,,
38,0.015,,
39,0.014,,
40,0.014,,
41,0.016,,
42,0.016,,
43,0.015,,
44,0.016,,
45,0.015,,
46,0.014,,
47,0.014,,
48,0.014,,
49,0.015,,
50,0.014,,
51,0.014,,
52,0.015,,
53,0.015,,
54,0.015,,
55,0.014,,
56,0.013,,
57,0.015,,
58,0.016,,
59,0.017,,
60,0.015,,
61,0.014,,
62,0.013,,
63,0.014,,
64,0.014,,
65,0.015,,
66,0.014,,
67,0.014,,
68,0.014,,
69,0.014,,
70,0.014,,
71,0.015,,
72,0.015,,
73,0.014,,
74,0.014,,
75,0.013,,
76,0.014,,
77,0.015,,
78,0.015,,
79,0.015,,
80,0.014,,
81,0.014,,
82,0.014,,
83,0.015,,
84,0.014,,
85,0.015,,
86,0.015,,
87,0.014,,
88,0.015,,
89,0.014,,
90,0.014,,
91,0.015,,
92,0.014,,
93,0.014,,
94,0.014,,
95,0.013,,
96,0.013,,
97,0.013,,
98,0.013,,
99,0.013,,
100,0.013,,
101,0.012,,
102,0.013,,
103,0.014,,
104,0.014,,
105,0.014,,
106,0.014,,
107,0.013,,
108,0.013,,
109,0.013,,
110,0.013,,
111,0.013,,
112,0.013,,
113,0.013,,
114,0.013,,
115,0.013,,
116,0.015,,
117,0.014,,
118,0.013,,
119,0.014,,
120,0.014,,
121,0.013,,
122,0.014,,
123,0.014,,
124,0.013,,
125,0.013,,
126,0.013,,
127,0.013,,
128,0.013,,
129,0.014,,
130,0.014,,
131,0.013,,
132,0.014,,
133,0.014,,
134,0.014,,
135,0.014,,
136,0.013,,
137,0.013,,
138,0.014,,
139,0.015,,
140,0.014,,
141,0.013,,
142,0.013,,
143,0.013,,
144,0.014,,
145,0.014,,
146,0.013,,
147,0.014,,
148,0.013,,
149,0.013,,
150,0.015,,
151,0.015,,
152,0.013,,
153,0.013,,
154,0.014,,
155,0.013,,
156,0.013,,
157,0.013,,
158,0.013,,
159,0.014,,
160,0.014,,
161,0.014,,
162,0.014,,
163,0.014,,
164,0.014,,
165,0.013,,
166,0.013,,
167,0.013,,
168,0.013,,
169,0.013,,
170,0.013,,
171,0.014,,
172,0.013,,
173,0.013,,
174,0.014,,
175,0.016,,
176,0.016,,
177,0.013,,
178,0.013,,
179,0.013,,
180,0.013,,
181,0.013,,
182,0.012,,
183,0.012,,
184,0.013,,
185,0.013,,
186,0.012,,
187,0.013,,
188,0.013,,
189,0.013,,
190,0.014,,
191,0.013,,
192,0.013,,
193,0.013,,
194,0.013,,
195,0.013,,
196,0.012,,
197,0.013,,
198,0.015,,
199,0.014,,
200,0.014,,
201,0.013,,
202,0.013,,
203,0.013,,
204,0.013,,
205,0.014,,
206,0.014,,
207,0.014,,
208,0.015,,
209,0.014,,
210,0.014,,
211,0.014,,
212,0.014,,
213,0.013,,
214,0.015,,
215,0.015,,
216,0.013,,
217,0.013,,
218,0.013,,
219,0.014,,
220,0.013,,
221,0.012,,
222,0.013,,
223,0.013,,
224,0.013,,
225,0.013,,
226,0.013,,
227,0.013,,
228,0.013,,
229,0.015,,
230,0.015,,
231,0.013,,
232,0.014,,
233,0.015,,
234,0.015,,
235,0.015,,
236,0.014,,
237,0.012,,
238,0.013,,
239,0.013,,
240,0.014,,
241,0.015,,
242,0.016,,
243,0.016,,
244,0.015,,
245,0.014,,
246,0.015,,
247,0.015,,
248,0.018,,
249,0.022,,
250,0.016,,
251,0.014,,
252,0.013,,
253,0.012,,
254,0.012,,
255,0.015,,
256,0.018,,
257,0.015,,
258,0.015,,
259,0.014,,
260,0.013,,
261,0.012,,
262,0.012,,
263,0.013,,
264,0.013,,
265,0.014,,
266,0.014,,
267,0.013,,
268,0.012,,
269,0.013,,
270,0.013,,
271,0.014,,
272,0.016,,
273,0.017,,
274,0.015,,
