Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530091203
Firmware Version,2.4
Calibration Date,03/19/2010
Test Name,8530A 10.0_003
Test Start Time,08:03:52 PM
Test Start Date,06/17/2010
Test Length [D:H:M],0:1:27
Test Interval [M:S],0:1
Mass Average [mg/m3],0.036
Mass Minimum [mg/m3],0.014
Mass Maximum [mg/m3],2.64
Mass TWA [mg/m3],0.007
Photometric User Cal,1.00
Flow User Cal,1.00
Errors,
Number of Samples,5277

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
1,0.025,,
2,0.025,,
3,0.021,,
4,0.021,,
5,0.024,,
6,0.025,,
7,0.033,,
8,0.036,,
9,0.027,,
10,0.035,,
11,0.042,,
12,0.026,,
13,0.028,,
14,0.026,,
15,0.025,,
16,0.024,,
17,0.027,,
18,0.037,,
19,0.029,,
20,0.028,,
21,0.025,,
22,0.026,,
23,0.039,,
24,0.025,,
25,0.024,,
26,0.065,,
27,0.069,,
28,0.024,,
29,0.023,,
30,0.028,,
31,0.043,,
32,0.034,,
33,0.043,,
34,0.023,,
35,0.023,,
36,0.024,,
37,0.025,,
38,0.027,,
39,0.049,,
40,0.084,,
41,0.051,,
42,0.032,,
43,0.031,,
44,0.028,,
45,0.027,,
46,0.031,,
47,0.038,,
48,0.037,,
49,0.029,,
50,0.030,,
51,0.027,,
52,0.028,,
53,0.031,,
54,0.034,,
55,0.032,,
56,0.030,,
57,0.028,,
58,0.029,,
59,0.031,,
60,0.031,,
61,0.030,,
62,0.031,,
63,0.027,,
64,0.028,,
65,0.028,,
66,0.029,,
67,0.027,,
68,0.032,,
69,0.049,,
70,0.046,,
71,0.033,,
72,0.028,,
73,0.045,,
74,0.051,,
75,0.036,,
76,0.042,,
77,0.033,,
78,0.033,,
79,0.030,,
80,0.028,,
81,0.033,,
82,0.033,,
83,0.031,,
84,0.030,,
85,0.030,,
86,0.030,,
87,0.031,,
88,0.026,,
89,0.029,,
90,0.030,,
91,0.029,,
92,0.034,,
93,0.031,,
94,0.031,,
95,0.027,,
96,0.030,,
97,0.030,,
98,0.028,,
99,0.028,,
100,0.031,,
101,0.033,,
102,0.029,,
103,0.030,,
104,0.033,,
105,0.033,,
106,0.034,,
107,0.033,,
108,0.040,,
109,0.039,,
110,0.036,,
111,0.034,,
112,0.039,,
113,0.037,,
114,0.035,,
115,0.035,,
116,0.036,,
117,0.037,,
118,0.033,,
119,0.035,,
120,0.035,,
121,0.034,,
122,0.035,,
123,0.034,,
124,0.036,,
125,0.033,,
126,0.033,,
127,0.032,,
128,0.037,,
129,0.040,,
130,0.041,,
131,0.037,,
132,0.037,,
133,0.044,,
134,0.031,,
135,0.033,,
136,0.035,,
137,0.036,,
138,0.034,,
139,0.034,,
140,0.035,,
141,0.035,,
142,0.030,,
143,0.031,,
144,0.029,,
145,0.029,,
146,0.035,,
147,0.032,,
148,0.031,,
149,0.032,,
150,0.031,,
151,0.031,,
152,0.035,,
153,0.035,,
154,0.032,,
155,0.028,,
156,0.035,,
157,0.040,,
158,0.030,,
159,0.028,,
160,0.029,,
161,0.029,,
162,0.031,,
163,0.042,,
164,0.049,,
165,0.047,,
166,0.040,,
167,0.032,,
168,0.042,,
169,0.037,,
170,0.029,,
171,0.029,,
172,0.032,,
173,0.032,,
174,0.035,,
175,0.027,,
176,0.028,,
177,0.030,,
178,0.031,,
179,0.030,,
180,0.029,,
181,0.033,,
182,0.038,,
183,0.041,,
184,0.026,,
185,0.029,,
186,0.031,,
187,0.026,,
188,0.025,,
189,0.027,,
190,0.029,,
191,0.036,,
192,0.028,,
193,0.030,,
194,0.032,,
195,0.031,,
196,0.031,,
197,0.028,,
198,0.029,,
199,0.029,,
200,0.027,,
201,0.029,,
202,0.029,,
203,0.032,,
204,0.029,,
205,0.026,,
206,0.027,,
207,0.025,,
208,0.033,,
209,0.042,,
210,0.028,,
211,0.028,,
212,0.026,,
213,0.027,,
214,0.027,,
215,0.028,,
216,0.030,,
217,0.031,,
218,0.030,,
219,0.025,,
220,0.027,,
221,0.028,,
222,0.025,,
223,0.027,,
224,0.027,,
225,0.025,,
226,0.027,,
227,0.028,,
228,0.028,,
229,0.031,,
230,0.029,,
231,0.028,,
232,0.027,,
233,0.038,,
234,0.026,,
235,0.027,,
236,0.028,,
237,0.026,,
238,0.027,,
239,0.022,,
240,0.024,,
241,0.031,,
242,0.034,,
243,0.025,,
244,0.025,,
245,0.027,,
246,0.025,,
247,0.025,,
248,0.023,,
249,0.027,,
250,0.025,,
251,0.026,,
252,0.026,,
253,0.025,,
254,0.029,,
255,0.031,,
256,0.025,,
257,0.026,,
258,0.031,,
259,0.031,,
260,0.031,,
261,0.036,,
262,0.041,,
263,0.036,,
264,0.030,,
265,0.024,,
266,0.027,,
267,0.031,,
268,0.029,,
269,0.023,,
270,0.029,,
271,0.034,,
272,0.034,,
273,0.043,,
274,0.039,,
275,0.032,,
276,0.030,,
277,0.031,,
278,0.030,,
279,0.031,,
280,0.042,,
281,0.028,,
282,0.029,,
283,0.030,,
284,0.028,,
285,0.027,,
286,0.028,,
287,0.030,,
288,0.029,,
289,0.034,,
290,0.035,,
291,0.025,,
292,0.026,,
293,0.027,,
294,0.029,,
295,0.031,,
296,0.031,,
297,0.030,,
298,0.034,,
299,0.035,,
300,0.030,,
301,0.034,,
302,0.037,,
303,0.034,,
304,0.045,,
305,0.037,,
306,0.037,,
307,0.031,,
308,0.033,,
309,0.035,,
310,0.032,,
311,0.030,,
312,0.047,,
313,0.053,,
314,0.031,,
315,0.034,,
316,0.036,,
317,0.032,,
318,0.029,,
319,0.037,,
320,0.046,,
321,0.039,,
322,0.032,,
323,0.035,,
324,0.032,,
325,0.032,,
326,0.032,,
327,0.030,,
328,0.030,,
329,0.035,,
330,0.045,,
331,0.049,,
332,0.030,,
333,0.031,,
334,0.027,,
335,0.029,,
336,0.040,,
337,0.060,,
338,0.028,,
339,0.028,,
340,0.031,,
341,0.031,,
342,0.030,,
343,0.031,,
344,0.029,,
345,0.030,,
346,0.034,,
347,0.028,,
348,0.026,,
349,0.025,,
350,0.028,,
351,0.030,,
352,0.034,,
353,0.030,,
354,0.034,,
355,0.034,,
356,0.030,,
357,0.029,,
358,0.027,,
359,0.034,,
360,0.037,,
361,0.029,,
362,0.027,,
363,0.029,,
364,0.032,,
365,0.032,,
366,0.034,,
367,0.026,,
368,0.025,,
369,0.027,,
370,0.030,,
371,0.028,,
372,0.027,,
373,0.034,,
374,0.028,,
375,0.027,,
376,0.028,,
377,0.033,,
378,0.031,,
379,0.028,,
380,0.031,,
381,0.031,,
382,0.032,,
383,0.034,,
384,0.032,,
385,0.028,,
386,0.034,,
387,0.033,,
388,0.028,,
389,0.028,,
390,0.026,,
391,0.028,,
392,0.027,,
393,0.027,,
394,0.025,,
395,0.048,,
396,0.095,,
397,0.064,,
398,0.034,,
399,0.034,,
400,0.034,,
401,0.029,,
402,0.023,,
403,0.026,,
404,0.027,,
405,0.028,,
406,0.029,,
407,0.028,,
408,0.029,,
409,0.026,,
410,0.027,,
411,0.028,,
412,0.029,,
413,0.031,,
414,0.030,,
415,0.031,,
416,0.028,,
417,0.027,,
418,0.025,,
419,0.021,,
420,0.024,,
421,0.027,,
422,0.028,,
423,0.028,,
424,0.026,,
425,0.026,,
426,0.031,,
427,0.028,,
428,0.027,,
429,0.028,,
430,0.032,,
431,0.032,,
432,0.028,,
433,0.028,,
434,0.030,,
435,0.028,,
436,0.026,,
437,0.025,,
438,0.027,,
439,0.025,,
440,0.027,,
441,0.030,,
442,0.031,,
443,0.040,,
444,0.124,,
445,0.245,,
446,0.117,,
447,0.048,,
448,0.039,,
449,0.034,,
450,0.033,,
451,0.036,,
452,0.035,,
