Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530094612
Firmware Version,2.4
Calibration Date,11/12/2009
Test Name,8530B_2-5_004
Test Start Time,01:16:15 PM
Test Start Date,07/11/2011
Test Length [D:H:M],0:1:55
Test Interval [M:S],0:1
Mass Average [mg/m3],0.010
Mass Minimum [mg/m3],0.000
Mass Maximum [mg/m3],0.095
Mass TWA [mg/m3],0.002
Photometric User Cal,1.00
Flow User Cal,1.00
Errors,2
Number of Samples,6951

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
1,0.011,,
2,0.010,,
3,0.009,,
4,0.010,,
5,0.009,,
6,0.009,,
7,0.009,,
8,0.009,,
9,0.010,,
10,0.009,,
11,0.009,,
12,0.010,,
13,0.009,,
14,0.008,,
15,0.007,,
16,0.008,,
17,0.008,,
18,0.009,,
19,0.009,,
20,0.009,,
21,0.009,,
22,0.013,,
23,0.014,,
24,0.008,,
25,0.009,,
26,0.009,,
27,0.009,,
28,0.008,,
29,0.009,,
30,0.009,,
31,0.009,,
32,0.009,,
33,0.008,,
34,0.007,,
35,0.007,,
36,0.008,,
37,0.008,,
38,0.008,,
39,0.008,,
40,0.009,,
41,0.009,,
42,0.010,,
43,0.008,,
44,0.008,,
45,0.009,,
46,0.009,,
47,0.008,,
48,0.008,,
49,0.009,,
50,0.009,,
51,0.008,,
52,0.008,,
53,0.008,,
54,0.009,,
55,0.008,,
56,0.008,,
57,0.009,,
58,0.009,,
59,0.009,,
60,0.008,,
61,0.008,,
62,0.008,,
63,0.009,,
64,0.008,,
65,0.009,,
66,0.008,,
67,0.008,,
68,0.008,,
69,0.008,,
70,0.008,,
71,0.008,,
72,0.009,,
73,0.009,,
74,0.008,,
75,0.009,,
76,0.009,,
77,0.008,,
78,0.008,,
79,0.009,,
80,0.008,,
81,0.009,,
82,0.009,,
83,0.009,,
84,0.008,,
85,0.009,,
86,0.008,,
87,0.008,,
88,0.009,,
89,0.009,,
90,0.008,,
91,0.009,,
92,0.010,,
93,0.009,,
94,0.008,,
95,0.008,,
96,0.009,,
97,0.009,,
98,0.008,,
99,0.008,,
100,0.008,,
101,0.008,,
102,0.009,,
103,0.008,,
104,0.009,,
105,0.009,,
106,0.008,,
107,0.009,,
108,0.009,,
109,0.009,,
110,0.009,,
111,0.009,,
112,0.010,,
113,0.010,,
114,0.011,,
115,0.010,,
116,0.009,,
117,0.009,,
118,0.010,,
119,0.009,,
120,0.009,,
121,0.009,,
122,0.009,,
123,0.010,,
124,0.009,,
125,0.010,,
126,0.009,,
127,0.009,,
128,0.010,,
129,0.009,,
130,0.009,,
131,0.010,,
132,0.010,,
133,0.010,,
134,0.011,,
135,0.010,,
136,0.011,,
137,0.013,,
138,0.012,,
139,0.012,,
140,0.011,,
141,0.011,,
142,0.011,,
143,0.010,,
144,0.008,,
145,0.008,,
146,0.009,,
147,0.010,,
148,0.009,,
149,0.009,,
150,0.008,,
151,0.008,,
152,0.008,,
153,0.007,,
154,0.008,,
155,0.009,,
156,0.009,,
157,0.009,,
158,0.009,,
159,0.010,,
160,0.012,,
161,0.010,,
162,0.009,,
163,0.008,,
164,0.010,,
165,0.009,,
166,0.010,,
167,0.010,,
168,0.010,,
169,0.009,,
170,0.009,,
171,0.009,,
172,0.009,,
173,0.008,,
174,0.009,,
175,0.009,,
176,0.009,,
177,0.009,,
178,0.009,,
179,0.009,,
180,0.008,,
181,0.008,,
182,0.009,,
183,0.010,,
184,0.010,,
185,0.009,,
186,0.008,,
187,0.008,,
188,0.008,,
189,0.008,,
190,0.010,,
191,0.010,,
192,0.010,,
193,0.011,,
194,0.012,,
195,0.012,,
196,0.010,,
197,0.010,,
198,0.008,,
199,0.009,,
200,0.010,,
201,0.009,,
202,0.011,,
203,0.010,,
204,0.008,,
205,0.009,,
206,0.008,,
207,0.010,,
208,0.007,,
209,0.007,,
210,0.007,,
211,0.008,,
212,0.007,,
213,0.007,,
214,0.007,,
215,0.008,,
216,0.008,,
217,0.009,,
218,0.007,,
219,0.008,,
220,0.007,,
221,0.008,,
222,0.007,,
223,0.008,,
224,0.008,,
225,0.008,,
