Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530100707
Firmware Version,2.8
Calibration Date,06/27/2011
Test Name,8530C_2-5_006
Test Start Time,01:25:21 PM
Test Start Date,07/13/2011
Test Length [D:H:M],0:2:0
Test Interval [M:S],0:1
Mass Average [mg/m3],0.010
Mass Minimum [mg/m3],0.000
Mass Maximum [mg/m3],0.239
Mass TWA [mg/m3],0.003
Photometric User Cal,1.00
Flow User Cal,1.00
Errors,Flow Error
Number of Samples,7200

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
1,0.079,,
2,0.061,,
3,0.008,,
4,0.008,,
5,0.009,,
6,0.009,,
7,0.009,,
8,0.009,,
9,0.008,,
10,0.007,,
11,0.008,,
12,0.008,,
13,0.008,,
14,0.008,,
15,0.007,,
16,0.007,,
17,0.007,,
18,0.008,,
19,0.008,,
20,0.008,,
21,0.008,,
22,0.007,,
23,0.007,,
24,0.008,,
25,0.007,,
26,0.008,,
27,0.008,,
28,0.008,,
29,0.008,,
30,0.008,,
31,0.009,,
32,0.008,,
33,0.007,,
34,0.008,,
35,0.008,,
36,0.008,,
37,0.008,,
38,0.008,,
39,0.008,,
40,0.008,,
41,0.008,,
42,0.007,,
43,0.008,,
44,0.009,,
45,0.008,,
46,0.009,,
47,0.009,,
48,0.008,,
49,0.007,,
50,0.007,,
51,0.008,,
52,0.009,,
53,0.008,,
54,0.008,,
55,0.007,,
56,0.007,,
57,0.007,,
58,0.007,,
59,0.008,,
60,0.007,,
61,0.007,,
62,0.008,,
63,0.008,,
64,0.008,,
65,0.008,,
66,0.007,,
67,0.007,,
68,0.008,,
69,0.008,,
70,0.007,,
71,0.007,,
72,0.008,,
73,0.008,,
74,0.009,,
75,0.008,,
76,0.008,,
77,0.008,,
78,0.009,,
79,0.009,,
80,0.009,,
81,0.009,,
82,0.007,,
83,0.008,,
84,0.009,,
85,0.009,,
86,0.007,,
87,0.007,,
88,0.008,,
89,0.008,,
90,0.008,,
91,0.008,,
92,0.008,,
93,0.008,,
94,0.008,,
95,0.008,,
96,0.008,,
97,0.008,,
98,0.008,,
99,0.008,,
100,0.008,,
101,0.007,,
102,0.007,,
103,0.007,,
104,0.008,,
105,0.008,,
106,0.008,,
107,0.008,,
108,0.008,,
109,0.008,,
110,0.007,,
111,0.007,,
112,0.007,,
113,0.008,,
114,0.008,,
115,0.008,,
116,0.008,,
117,0.008,,
118,0.008,,
119,0.008,,
120,0.008,,
121,0.008,,
122,0.007,,
123,0.008,,
124,0.009,,
125,0.008,,
126,0.008,,
127,0.008,,
128,0.008,,
129,0.008,,
130,0.007,,
131,0.008,,
132,0.009,,
133,0.009,,
134,0.008,,
135,0.007,,
136,0.007,,
137,0.007,,
138,0.007,,
139,0.007,,
140,0.008,,
141,0.009,,
142,0.009,,
143,0.008,,
144,0.008,,
145,0.009,,
146,0.009,,
147,0.008,,
148,0.008,,
149,0.008,,
150,0.008,,
151,0.008,,
152,0.007,,
153,0.008,,
154,0.009,,
155,0.009,,
156,0.008,,
157,0.008,,
158,0.007,,
159,0.007,,
160,0.008,,
161,0.008,,
162,0.007,,
163,0.008,,
164,0.008,,
165,0.008,,
166,0.008,,
167,0.008,,
168,0.008,,
169,0.008,,
170,0.008,,
171,0.007,,
172,0.007,,
173,0.008,,
174,0.008,,
175,0.008,,
176,0.007,,
177,0.007,,
178,0.008,,
179,0.008,,
180,0.008,,
181,0.008,,
182,0.008,,
183,0.008,,
184,0.008,,
185,0.008,,
186,0.008,,
187,0.008,,
188,0.008,,
189,0.009,,
190,0.009,,
191,0.009,,
192,0.009,,
193,0.008,,
194,0.008,,
195,0.009,,
196,0.009,,
197,0.008,,
198,0.008,,
199,0.009,,
200,0.009,,
201,0.009,,
202,0.009,,
203,0.008,,
204,0.009,,
205,0.008,,
206,0.008,,
207,0.010,,
208,0.009,,
209,0.008,,
210,0.008,,
211,0.009,,
212,0.009,,
213,0.008,,
214,0.009,,
215,0.010,,
216,0.009,,
217,0.010,,
218,0.009,,
219,0.009,,
220,0.009,,
221,0.010,,
222,0.010,,
223,0.009,,
224,0.009,,
225,0.009,,
226,0.009,,
227,0.008,,
228,0.008,,
229,0.009,,
230,0.009,,
231,0.008,,
232,0.008,,
233,0.009,,
234,0.008,,
235,0.008,,
236,0.009,,
237,0.010,,
238,0.008,,
239,0.009,,
240,0.009,,
241,0.008,,
242,0.008,,
243,0.008,,
244,0.007,,
245,0.007,,
246,0.008,,
247,0.008,,
248,0.008,,
249,0.008,,
250,0.008,,
251,0.008,,
252,0.008,,
253,0.008,,
254,0.008,,
255,0.008,,
256,0.008,,
257,0.008,,
258,0.008,,
259,0.008,,
260,0.008,,
261,0.009,,
262,0.008,,
263,0.008,,
264,0.009,,
265,0.008,,
266,0.009,,
267,0.009,,
268,0.008,,
269,0.007,,
270,0.007,,
271,0.008,,
272,0.008,,
273,0.007,,
274,0.008,,
275,0.008,,
276,0.008,,
277,0.008,,
278,0.008,,
279,0.008,,
280,0.007,,
281,0.008,,
282,0.008,,
283,0.008,,
284,0.008,,
285,0.008,,
286,0.009,,
287,0.009,,
288,0.009,,
289,0.008,,
290,0.009,,
291,0.008,,
292,0.008,,
293,0.009,,
294,0.009,,
295,0.008,,
296,0.009,,
297,0.009,,
298,0.008,,
299,0.008,,
300,0.008,,
301,0.008,,
302,0.007,,
303,0.008,,
304,0.008,,
305,0.008,,
306,0.008,,
307,0.008,,
308,0.008,,
309,0.008,,
310,0.008,,
311,0.009,,
312,0.009,,
313,0.009,,
314,0.008,,
315,0.008,,
316,0.007,,
317,0.009,,
318,0.013,,
319,0.017,,
320,0.009,,
321,0.009,,
322,0.009,,
323,0.009,,
324,0.009,,
325,0.009,,
326,0.009,,
327,0.009,,
328,0.009,,
329,0.008,,
330,0.008,,
331,0.008,,
332,0.009,,
333,0.009,,
334,0.008,,
335,0.007,,
336,0.008,,
337,0.008,,
338,0.007,,
339,0.007,,
340,0.007,,
341,0.007,,
342,0.008,,
343,0.008,,
344,0.007,,
345,0.008,,
346,0.007,,
347,0.007,,
348,0.007,,
349,0.008,,
350,0.008,,
351,0.007,,
352,0.008,,
353,0.008,,
354,0.008,,
355,0.009,,
356,0.008,,
357,0.008,,
358,0.007,,
359,0.007,,
360,0.008,,
361,0.008,,
362,0.008,,
363,0.008,,
364,0.008,,
365,0.008,,
366,0.008,,
367,0.007,,
368,0.007,,
369,0.007,,
370,0.008,,
371,0.007,,
372,0.007,,
373,0.008,,
374,0.008,,
375,0.008,,
376,0.008,,
377,0.008,,
378,0.009,,
379,0.009,,
380,0.008,,
381,0.008,,
382,0.008,,
383,0.008,,
384,0.008,,
385,0.008,,
386,0.008,,
387,0.008,,
388,0.008,,
389,0.008,,
390,0.008,,
391,0.009,,
392,0.009,,
393,0.007,,
394,0.008,,
395,0.008,,
396,0.009,,
397,0.010,,
398,0.009,,
399,0.009,,
400,0.008,,
401,0.008,,
402,0.008,,
403,0.008,,
404,0.008,,
405,0.008,,
406,0.009,,
407,0.008,,
408,0.008,,
409,0.009,,
410,0.008,,
411,0.008,,
412,0.009,,
413,0.008,,
414,0.008,,
415,0.009,,
416,0.008,,
417,0.008,,
418,0.008,,
419,0.008,,
420,0.007,,
421,0.008,,
422,0.008,,
423,0.008,,
424,0.008,,
425,0.008,,
426,0.007,,
427,0.007,,
428,0.007,,
429,0.007,,
430,0.007,,
431,0.008,,
432,0.009,,
433,0.008,,
434,0.008,,
435,0.008,,
436,0.009,,
437,0.009,,
438,0.008,,
439,0.008,,
440,0.008,,
441,0.008,,
442,0.008,,
443,0.008,,
444,0.007,,
445,0.008,,
446,0.008,,
447,0.008,,
448,0.008,,
449,0.007,,
450,0.007,,
451,0.007,,
452,0.008,,
453,0.008,,
454,0.009,,
455,0.009,,
456,0.010,,
457,0.010,,
458,0.009,,
459,0.008,,
460,0.008,,
461,0.009,,
462,0.008,,
463,0.009,,
464,0.009,,
465,0.011,,
466,0.014,,
467,0.009,,
468,0.008,,
469,0.009,,
470,0.009,,
471,0.008,,
472,0.008,,
473,0.009,,
474,0.009,,
475,0.008,,
476,0.008,,
477,0.009,,
478,0.009,,
479,0.008,,
480,0.009,,
481,0.009,,
482,0.008,,
483,0.008,,
484,0.008,,
485,0.008,,
486,0.008,,
487,0.008,,
488,0.008,,
489,0.007,,
490,0.008,,
491,0.009,,
492,0.008,,
493,0.007,,
494,0.007,,
495,0.007,,
496,0.008,,
497,0.008,,
498,0.008,,
499,0.008,,
500,0.008,,
501,0.008,,
502,0.008,,
503,0.009,,
504,0.008,,
505,0.008,,
506,0.009,,
507,0.008,,
508,0.008,,
509,0.007,,
510,0.006,,
511,0.007,,
512,0.008,,
513,0.008,,
514,0.010,,
515,0.008,,
516,0.008,,
517,0.009,,
518,0.008,,
519,0.008,,
520,0.012,,
521,0.019,,
522,0.015,,
523,0.013,,
524,0.011,,
525,0.008,,
526,0.008,,
527,0.011,,
528,0.010,,
529,0.010,,
530,0.011,,
531,0.011,,
532,0.029,,
533,0.044,,
534,0.013,,
535,0.013,,
536,0.013,,
537,0.010,,
538,0.010,,
539,0.010,,
540,0.010,,
541,0.010,,
542,0.010,,
543,0.010,,
544,0.011,,
545,0.011,,
546,0.010,,
547,0.010,,
548,0.011,,
549,0.011,,
550,0.011,,
551,0.011,,
552,0.011,,
553,0.013,,
554,0.015,,
555,0.014,,
556,0.014,,
557,0.013,,
558,0.015,,
559,0.014,,
560,0.014,,
561,0.030,,
562,0.035,,
563,0.013,,
564,0.014,,
565,0.014,,
566,0.014,,
567,0.014,,
568,0.014,,
569,0.013,,
570,0.013,,
571,0.013,,
572,0.013,,
573,0.012,,
574,0.013,,
575,0.013,,
576,0.012,,
577,0.013,,
578,0.012,,
579,0.011,,
580,0.012,,
581,0.012,,
582,0.012,,
583,0.013,,
584,0.012,,
585,0.012,,
586,0.014,,
587,0.015,,
588,0.015,,
589,0.015,,
590,0.014,,
591,0.013,,
592,0.013,,
593,0.014,,
594,0.013,,
595,0.014,,
596,0.015,,
597,0.015,,
598,0.014,,
599,0.014,,
600,0.013,,
601,0.013,,
602,0.015,,
603,0.016,,
604,0.015,,
605,0.013,,
606,0.012,,
607,0.013,,
608,0.014,,
609,0.014,,
610,0.014,,
611,0.013,,
612,0.012,,
613,0.014,,
614,0.014,,
615,0.013,,
616,0.014,,
617,0.014,,
618,0.015,,
619,0.018,,
620,0.020,,
621,0.020,,
622,0.020,,
623,0.015,,
624,0.015,,
625,0.015,,
626,0.015,,
627,0.014,,
628,0.013,,
629,0.014,,
630,0.015,,
631,0.015,,
632,0.016,,
633,0.015,,
634,0.013,,
635,0.014,,
636,0.013,,
637,0.013,,
638,0.013,,
639,0.015,,
640,0.013,,
641,0.014,,
642,0.014,,
643,0.016,,
644,0.016,,
645,0.017,,
646,0.017,,
647,0.017,,
648,0.015,,
649,0.014,,
650,0.015,,
651,0.016,,
652,0.016,,
653,0.015,,
654,0.015,,
655,0.014,,
656,0.013,,
657,0.016,,
658,0.017,,
659,0.016,,
660,0.015,,
661,0.014,,
662,0.014,,
663,0.014,,
664,0.016,,
665,0.016,,
666,0.016,,
667,0.016,,
668,0.016,,
669,0.015,,
670,0.015,,
671,0.015,,
672,0.015,,
673,0.016,,
674,0.016,,
675,0.018,,
676,0.018,,
677,0.017,,
678,0.016,,
679,0.015,,
680,0.015,,
681,0.015,,
682,0.016,,
683,0.016,,
684,0.016,,
685,0.016,,
686,0.015,,
687,0.014,,
688,0.015,,
689,0.015,,
690,0.015,,
691,0.015,,
692,0.014,,
693,0.016,,
694,0.017,,
695,0.015,,
696,0.014,,
697,0.015,,
698,0.014,,
699,0.015,,
700,0.017,,
701,0.015,,
702,0.015,,
703,0.015,,
704,0.015,,
705,0.014,,
706,0.014,,
707,0.013,,
708,0.013,,
709,0.014,,
710,0.013,,
711,0.013,,
712,0.013,,
713,0.013,,
714,0.014,,
715,0.014,,
716,0.015,,
717,0.015,,
718,0.013,,
719,0.014,,
720,0.015,,
721,0.014,,
722,0.014,,
723,0.015,,
724,0.015,,
725,0.015,,
726,0.015,,
727,0.013,,
728,0.013,,
729,0.013,,
730,0.014,,
731,0.013,,
732,0.014,,
733,0.016,,
734,0.016,,
735,0.017,,
736,0.015,,
737,0.015,,
738,0.015,,
739,0.015,,
740,0.015,,
741,0.016,,
