Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530100707
Firmware Version,2.8
Calibration Date,06/27/2011
Test Name,8530C_2-5_009
Test Start Time,01:18:48 PM
Test Start Date,07/18/2011
Test Length [D:H:M],0:0:59
Test Interval [M:S],0:1
Mass Average [mg/m3],0.004
Mass Minimum [mg/m3],0.001
Mass Maximum [mg/m3],0.055
Mass TWA [mg/m3],0.001
Photometric User Cal,1.00
Flow User Cal,1.00
Errors,
Number of Samples,3540

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
1,0.006,,
2,0.006,,
3,0.005,,
4,0.005,,
5,0.006,,
6,0.005,,
7,0.006,,
8,0.006,,
9,0.005,,
10,0.005,,
11,0.005,,
12,0.005,,
13,0.005,,
14,0.005,,
15,0.005,,
16,0.005,,
17,0.005,,
18,0.005,,
19,0.005,,
20,0.005,,
21,0.005,,
22,0.005,,
23,0.005,,
24,0.005,,
25,0.005,,
26,0.005,,
27,0.006,,
28,0.005,,
29,0.005,,
30,0.005,,
31,0.005,,
32,0.005,,
33,0.005,,
34,0.005,,
35,0.004,,
36,0.005,,
37,0.005,,
38,0.005,,
39,0.005,,
40,0.005,,
41,0.005,,
42,0.005,,
43,0.005,,
44,0.005,,
45,0.005,,
46,0.005,,
47,0.005,,
48,0.004,,
49,0.004,,
50,0.004,,
51,0.005,,
52,0.005,,
53,0.004,,
54,0.005,,
55,0.005,,
56,0.005,,
57,0.005,,
58,0.005,,
59,0.004,,
60,0.004,,
61,0.004,,
62,0.004,,
63,0.004,,
64,0.005,,
65,0.004,,
66,0.004,,
67,0.004,,
68,0.005,,
69,0.005,,
70,0.005,,
71,0.004,,
72,0.004,,
73,0.005,,
74,0.006,,
75,0.006,,
76,0.005,,
77,0.005,,
78,0.005,,
79,0.006,,
80,0.005,,
81,0.004,,
82,0.005,,
83,0.006,,
84,0.006,,
85,0.005,,
86,0.006,,
87,0.005,,
88,0.005,,
89,0.005,,
90,0.004,,
91,0.005,,
92,0.005,,
93,0.005,,
94,0.006,,
95,0.006,,
96,0.005,,
97,0.005,,
98,0.004,,
99,0.005,,
100,0.005,,
101,0.004,,
102,0.005,,
103,0.006,,
104,0.005,,
105,0.005,,
106,0.006,,
107,0.005,,
108,0.005,,
109,0.005,,
110,0.005,,
111,0.005,,
112,0.005,,
113,0.006,,
114,0.008,,
115,0.009,,
116,0.021,,
117,0.022,,
118,0.007,,
119,0.006,,
120,0.007,,
121,0.010,,
122,0.010,,
123,0.007,,
124,0.006,,
125,0.008,,
126,0.008,,
127,0.009,,
128,0.008,,
129,0.009,,
130,0.007,,
131,0.006,,
132,0.006,,
133,0.005,,
134,0.005,,
135,0.005,,
136,0.005,,
137,0.005,,
138,0.005,,
139,0.004,,
140,0.005,,
141,0.005,,
142,0.004,,
143,0.004,,
144,0.005,,
145,0.005,,
146,0.005,,
147,0.005,,
148,0.005,,
149,0.005,,
150,0.005,,
151,0.005,,
152,0.005,,
153,0.006,,
154,0.006,,
155,0.006,,
156,0.006,,
157,0.006,,
158,0.006,,
159,0.005,,
160,0.006,,
161,0.005,,
162,0.006,,
163,0.007,,
164,0.008,,
165,0.008,,
166,0.006,,
167,0.005,,
168,0.005,,
169,0.005,,
170,0.005,,
171,0.005,,
172,0.006,,
173,0.006,,
174,0.006,,
175,0.006,,
176,0.006,,
177,0.006,,
178,0.005,,
179,0.006,,
180,0.006,,
181,0.006,,
182,0.006,,
183,0.005,,
184,0.006,,
185,0.005,,
186,0.005,,
187,0.005,,
188,0.004,,
189,0.005,,
190,0.005,,
191,0.005,,
192,0.005,,
193,0.005,,
194,0.005,,
195,0.005,,
196,0.005,,
197,0.006,,
198,0.006,,
199,0.005,,
200,0.005,,
201,0.005,,
202,0.005,,
203,0.005,,
204,0.005,,
205,0.005,,
206,0.005,,
207,0.005,,
208,0.006,,
209,0.005,,
210,0.006,,
211,0.006,,
212,0.006,,
213,0.007,,
214,0.006,,
215,0.006,,
216,0.006,,
217,0.006,,
218,0.007,,
219,0.008,,
220,0.013,,
221,0.016,,
222,0.014,,
223,0.015,,
224,0.013,,
225,0.012,,
226,0.012,,
227,0.010,,
228,0.009,,
229,0.008,,
230,0.006,,
231,0.006,,
232,0.007,,
233,0.007,,
234,0.006,,
235,0.007,,
236,0.007,,
237,0.006,,
238,0.006,,
239,0.006,,
240,0.006,,
241,0.006,,
242,0.005,,
243,0.006,,
244,0.006,,
245,0.006,,
246,0.006,,
247,0.006,,
248,0.006,,
249,0.007,,
250,0.006,,
251,0.005,,
252,0.006,,
253,0.006,,
254,0.005,,
255,0.006,,
256,0.006,,
257,0.005,,
258,0.005,,
259,0.006,,
260,0.006,,
261,0.006,,
262,0.006,,
263,0.006,,
264,0.006,,
265,0.006,,
266,0.006,,
267,0.005,,
268,0.006,,
269,0.006,,
270,0.006,,
271,0.006,,
272,0.005,,
273,0.005,,
274,0.005,,
275,0.005,,
276,0.005,,
277,0.005,,
278,0.005,,
279,0.005,,
280,0.005,,
281,0.006,,
282,0.006,,
283,0.006,,
284,0.006,,
285,0.007,,
286,0.007,,
287,0.008,,
288,0.010,,
289,0.009,,
290,0.007,,
291,0.006,,
292,0.005,,
293,0.006,,
294,0.005,,
295,0.005,,
296,0.006,,
297,0.006,,
298,0.006,,
299,0.006,,
300,0.007,,
301,0.005,,
302,0.006,,
303,0.006,,
304,0.005,,
305,0.006,,
306,0.006,,
307,0.005,,
308,0.006,,
309,0.006,,
310,0.006,,
311,0.006,,
312,0.006,,
313,0.006,,
314,0.006,,
315,0.006,,
316,0.006,,
317,0.005,,
318,0.005,,
319,0.005,,
320,0.005,,
321,0.005,,
322,0.005,,
323,0.007,,
324,0.007,,
325,0.006,,
326,0.006,,
327,0.005,,
328,0.006,,
329,0.006,,
330,0.006,,
331,0.007,,
332,0.006,,
333,0.006,,
334,0.006,,
335,0.007,,
336,0.010,,
337,0.010,,
338,0.007,,
339,0.005,,
340,0.005,,
341,0.005,,
342,0.005,,
343,0.005,,
344,0.005,,
345,0.005,,
346,0.007,,
347,0.007,,
348,0.005,,
349,0.005,,
350,0.005,,
351,0.005,,
352,0.005,,
353,0.005,,
354,0.004,,
355,0.005,,
356,0.006,,
357,0.006,,
358,0.005,,
359,0.005,,
360,0.005,,
361,0.005,,
362,0.005,,
363,0.005,,
364,0.005,,
365,0.005,,
366,0.005,,
367,0.005,,
368,0.006,,
369,0.005,,
370,0.005,,
371,0.005,,
372,0.005,,
373,0.005,,
374,0.007,,
375,0.007,,
376,0.006,,
377,0.005,,
378,0.005,,
379,0.005,,
380,0.005,,
381,0.004,,
382,0.003,,
383,0.004,,
384,0.004,,
385,0.004,,
386,0.005,,
387,0.004,,
388,0.004,,
389,0.004,,
390,0.004,,
391,0.004,,
392,0.004,,
393,0.005,,
394,0.004,,
395,0.004,,
396,0.004,,
397,0.004,,
398,0.004,,
399,0.004,,
400,0.004,,
401,0.005,,
402,0.005,,
403,0.004,,
404,0.004,,
405,0.005,,
406,0.004,,
407,0.004,,
408,0.004,,
409,0.004,,
410,0.005,,
411,0.004,,
412,0.004,,
413,0.004,,
414,0.004,,
415,0.004,,
416,0.005,,
417,0.005,,
418,0.005,,
419,0.005,,
420,0.008,,
421,0.009,,
422,0.005,,
423,0.005,,
424,0.005,,
425,0.005,,
426,0.005,,
427,0.005,,
428,0.004,,
429,0.004,,
430,0.004,,
431,0.005,,
432,0.005,,
433,0.004,,
434,0.004,,
435,0.005,,
436,0.006,,
437,0.005,,
438,0.006,,
439,0.006,,
440,0.005,,
441,0.005,,
442,0.005,,
443,0.004,,
444,0.005,,
445,0.004,,
446,0.004,,
447,0.005,,
448,0.005,,
449,0.005,,
450,0.004,,
451,0.004,,
452,0.004,,
453,0.004,,
454,0.004,,
455,0.005,,
456,0.005,,
457,0.004,,
458,0.005,,
459,0.005,,
460,0.005,,
461,0.005,,
462,0.004,,
463,0.004,,
464,0.004,,
465,0.005,,
