Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530094612
Firmware Version,2.4
Calibration Date,11/12/2009
Test Name,8530B_2-5_013
Test Start Time,01:03:32 PM
Test Start Date,07/20/2011
Test Length [D:H:M],0:2:0
Test Interval [M:S],0:1
Mass Average [mg/m3],0.021
Mass Minimum [mg/m3],0.000
Mass Maximum [mg/m3],0.082
Mass TWA [mg/m3],0.005
Photometric User Cal,1.00
Flow User Cal,1.00
Errors,
Number of Samples,7200

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
1,0.034,,
2,0.031,,
3,0.029,,
4,0.028,,
5,0.029,,
6,0.027,,
7,0.028,,
8,0.027,,
9,0.025,,
10,0.026,,
11,0.027,,
12,0.027,,
13,0.027,,
14,0.028,,
15,0.028,,
16,0.025,,
17,0.024,,
18,0.024,,
19,0.024,,
20,0.024,,
21,0.023,,
22,0.024,,
23,0.023,,
24,0.022,,
25,0.033,,
26,0.035,,
27,0.023,,
28,0.024,,
29,0.024,,
30,0.025,,
31,0.024,,
32,0.022,,
33,0.022,,
34,0.022,,
35,0.021,,
36,0.020,,
37,0.022,,
38,0.022,,
39,0.023,,
40,0.027,,
41,0.031,,
42,0.037,,
43,0.032,,
44,0.029,,
45,0.028,,
46,0.027,,
47,0.026,,
48,0.025,,
49,0.025,,
50,0.022,,
51,0.022,,
52,0.023,,
53,0.025,,
54,0.023,,
55,0.020,,
56,0.022,,
57,0.022,,
58,0.022,,
59,0.023,,
60,0.023,,
61,0.022,,
62,0.022,,
63,0.022,,
64,0.021,,
65,0.022,,
66,0.022,,
67,0.023,,
68,0.024,,
69,0.024,,
70,0.021,,
71,0.021,,
72,0.022,,
73,0.023,,
74,0.021,,
75,0.023,,
76,0.024,,
77,0.022,,
78,0.022,,
79,0.023,,
80,0.023,,
81,0.021,,
82,0.023,,
83,0.025,,
84,0.021,,
85,0.022,,
86,0.020,,
87,0.019,,
88,0.020,,
89,0.020,,
90,0.021,,
91,0.021,,
92,0.022,,
93,0.023,,
94,0.021,,
95,0.021,,
96,0.021,,
97,0.021,,
98,0.020,,
99,0.022,,
100,0.022,,
101,0.022,,
102,0.021,,
103,0.021,,
104,0.020,,
105,0.020,,
106,0.022,,
107,0.021,,
108,0.020,,
109,0.021,,
110,0.021,,
111,0.022,,
112,0.022,,
113,0.021,,
114,0.022,,
115,0.022,,
116,0.023,,
117,0.022,,
118,0.022,,
119,0.021,,
120,0.022,,
121,0.023,,
122,0.021,,
123,0.021,,
124,0.022,,
125,0.022,,
126,0.020,,
127,0.021,,
128,0.022,,
129,0.022,,
130,0.024,,
131,0.021,,
132,0.021,,
133,0.022,,
134,0.022,,
135,0.022,,
136,0.021,,
137,0.020,,
138,0.023,,
139,0.023,,
140,0.022,,
141,0.020,,
142,0.020,,
143,0.020,,
144,0.032,,
145,0.035,,
146,0.020,,
147,0.019,,
148,0.020,,
149,0.021,,
150,0.020,,
151,0.019,,
152,0.020,,
153,0.019,,
154,0.019,,
155,0.019,,
156,0.020,,
157,0.020,,
158,0.020,,
159,0.020,,
160,0.021,,
161,0.020,,
162,0.020,,
163,0.019,,
164,0.020,,
165,0.021,,
166,0.028,,
167,0.020,,
168,0.021,,
169,0.020,,
170,0.020,,
171,0.020,,
172,0.019,,
173,0.021,,
174,0.019,,
175,0.019,,
176,0.021,,
177,0.033,,
178,0.034,,
179,0.021,,
180,0.022,,
181,0.021,,
182,0.020,,
183,0.021,,
184,0.022,,
185,0.021,,
186,0.020,,
187,0.021,,
188,0.024,,
189,0.022,,
190,0.020,,
191,0.021,,
192,0.020,,
193,0.018,,
194,0.020,,
195,0.020,,
196,0.019,,
197,0.018,,
198,0.018,,
199,0.020,,
200,0.019,,
201,0.020,,
202,0.020,,
203,0.020,,
204,0.020,,
