Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530100707
Firmware Version,2.8
Calibration Date,06/27/2011
Test Name,8530C_2-5_003
Test Start Time,11:58:35 AM
Test Start Date,08/04/2011
Test Length [D:H:M],0:0:59
Test Interval [M:S],0:1
Mass Average [mg/m3],0.012
Mass Minimum [mg/m3],0.000
Mass Maximum [mg/m3],0.781
Mass TWA [mg/m3],0.001
Photometric User Cal,1.00
Flow User Cal,1.00
Errors,Flow Error
Number of Samples,3561

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
1,0.003,,
2,0.003,,
3,0.003,,
4,0.003,,
5,0.003,,
6,0.003,,
7,0.004,,
8,0.005,,
9,0.004,,
10,0.005,,
11,0.004,,
12,0.004,,
13,0.004,,
14,0.004,,
15,0.004,,
16,0.004,,
17,0.004,,
18,0.003,,
19,0.004,,
20,0.004,,
21,0.004,,
22,0.004,,
23,0.004,,
24,0.004,,
25,0.006,,
26,0.006,,
27,0.003,,
28,0.003,,
29,0.004,,
30,0.003,,
31,0.003,,
32,0.004,,
33,0.004,,
34,0.004,,
35,0.004,,
36,0.004,,
37,0.004,,
38,0.006,,
39,0.005,,
40,0.000,,
41,0.000,,
42,0.000,,
43,0.000,,
44,0.025,,
45,0.047,,
46,0.001,,
47,0.014,,
48,0.002,,
49,0.001,,
50,0.001,,
51,0.004,,
52,0.002,,
53,0.024,,
54,0.000,,
55,0.000,,
56,0.000,,
57,0.000,,
58,0.000,,
59,0.000,,
60,0.000,,
61,0.000,,
62,0.000,,
63,0.000,,
64,0.000,,
65,0.000,,
66,0.090,,
67,0.117,,
68,0.002,,
69,0.000,,
70,0.000,,
71,0.000,,
72,0.000,,
73,0.009,,
74,0.012,,
75,0.011,,
76,0.011,,
77,0.000,,
78,0.000,,
79,0.024,,
80,0.047,,
81,0.000,,
82,0.000,,
83,0.000,,
84,0.000,,
85,0.000,,
86,0.000,,
87,0.000,,
88,0.003,,
89,0.004,,
90,0.004,,
91,0.003,,
92,0.002,,
93,0.000,,
94,0.000,,
95,0.002,,
96,0.004,,
97,0.004,,
98,0.004,,
99,0.004,,
100,0.003,,
101,0.003,,
102,0.004,,
103,0.004,,
104,0.004,,
105,0.004,,
106,0.003,,
107,0.000,,
108,0.001,,
109,0.006,,
110,0.028,,
111,0.036,,
112,0.000,,
113,0.000,,
114,0.000,,
115,0.000,,
116,0.000,,
117,0.000,,
118,0.004,,
119,0.004,,
120,0.000,,
121,0.009,,
122,0.016,,
123,0.004,,
124,0.023,,
125,0.032,,
126,0.000,,
127,0.005,,
128,0.010,,
129,0.011,,
130,0.036,,
131,0.004,,
132,0.000,,
133,0.000,,
134,0.020,,
135,0.025,,
136,0.000,,
137,0.001,,
138,0.000,,
139,0.011,,
140,0.102,,
141,0.692,,
142,0.707,,
143,0.152,,
144,0.101,,
145,0.001,,
146,0.069,,
147,0.156,,Flow Error
148,0.037,,Flow Error
149,0.017,,Flow Error
150,0.008,,Flow Error
151,0.007,,
152,0.029,,
153,0.030,,
154,0.035,,
155,0.000,,
156,0.000,,
157,0.000,,
158,0.000,,
159,0.065,,
160,0.101,,
161,0.034,,
162,0.000,,
163,0.029,,
164,0.045,,
165,0.004,,
166,0.004,,
167,0.003,,
168,0.003,,
169,0.003,,
170,0.003,,
171,0.003,,
172,0.004,,
173,0.004,,
174,0.004,,
175,0.003,,
176,0.003,,
177,0.003,,
178,0.003,,
179,0.003,,
180,0.004,,
181,0.003,,
182,0.004,,
183,0.004,,
184,0.003,,
185,0.038,,
186,0.102,,
187,0.014,,
188,0.005,,
189,0.004,,
190,0.003,,
191,0.003,,
192,0.004,,
193,0.004,,
194,0.004,,
195,0.003,,
196,0.004,,
197,0.003,,
198,0.003,,
199,0.003,,
200,0.004,,
201,0.004,,
202,0.003,,
203,0.003,,
204,0.004,,
205,0.010,,
206,0.039,,
207,0.047,,
208,0.001,,
209,0.002,,
210,0.007,,
211,0.018,,
212,0.064,,
213,0.002,,
214,0.002,,
215,0.000,,
216,0.000,,
217,0.000,,
218,0.000,,
219,0.000,,
220,0.002,,
221,0.006,,
222,0.014,,
223,0.016,,
224,0.000,,
225,0.005,,
226,0.009,,
227,0.004,,
228,0.000,,
229,0.012,,
230,0.000,,
231,0.000,,
232,0.000,,
233,0.000,,
234,0.000,,
235,0.000,,
236,0.005,,
237,0.019,,
238,0.008,,
239,0.001,,
240,0.000,,
241,0.000,,Flow Error
242,0.000,,Flow Error
243,0.000,,Flow Error
244,0.000,,Flow Error
245,0.000,,Flow Error
246,0.000,,Flow Error
247,0.020,,Flow Error
248,0.000,,Flow Error
