Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530100707
Firmware Version,2.8
Calibration Date,06/27/2011
Test Name,8530C_2-5_009
Test Start Time,11:26:44 AM
Test Start Date,10/07/2011
Test Length [D:H:M],0:1:28
Test Interval [M:S],0:1
Mass Average [mg/m3],0.014
Mass Minimum [mg/m3],0.003
Mass Maximum [mg/m3],0.181
Mass TWA [mg/m3],0.003
Photometric User Cal,1.00
Flow User Cal,1.00
Errors,
Number of Samples,5330

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
1,0.111,,
2,0.087,,
3,0.022,,
4,0.011,,
5,0.007,,
6,0.011,,
7,0.014,,
8,0.013,,
9,0.016,,
10,0.020,,
11,0.051,,
12,0.086,,
13,0.020,,
14,0.020,,
15,0.019,,
16,0.018,,
17,0.018,,
18,0.018,,
19,0.019,,
20,0.019,,
21,0.018,,
22,0.018,,
23,0.019,,
24,0.019,,
25,0.019,,
26,0.019,,
27,0.018,,
28,0.018,,
29,0.018,,
30,0.018,,
31,0.017,,
32,0.018,,
33,0.018,,
34,0.019,,
35,0.018,,
36,0.017,,
37,0.018,,
38,0.018,,
39,0.018,,
40,0.018,,
41,0.017,,
42,0.018,,
43,0.018,,
44,0.017,,
45,0.017,,
46,0.018,,
47,0.018,,
48,0.017,,
49,0.018,,
50,0.017,,
51,0.017,,
52,0.018,,
53,0.018,,
54,0.017,,
55,0.017,,
56,0.018,,
57,0.017,,
58,0.018,,
59,0.019,,
60,0.019,,
61,0.018,,
62,0.018,,
63,0.018,,
64,0.018,,
65,0.018,,
66,0.018,,
67,0.018,,
68,0.017,,
69,0.016,,
70,0.017,,
71,0.017,,
72,0.017,,
73,0.016,,
74,0.016,,
75,0.017,,
76,0.018,,
77,0.018,,
78,0.018,,
79,0.017,,
80,0.017,,
81,0.017,,
82,0.017,,
83,0.018,,
84,0.017,,
85,0.017,,
86,0.018,,
87,0.018,,
88,0.017,,
89,0.018,,
90,0.018,,
91,0.018,,
92,0.017,,
93,0.017,,
94,0.018,,
95,0.018,,
96,0.017,,
97,0.019,,
98,0.017,,
99,0.017,,
100,0.018,,
101,0.018,,
102,0.019,,
103,0.018,,
104,0.017,,
105,0.017,,
106,0.017,,
107,0.017,,
108,0.017,,
109,0.016,,
110,0.017,,
111,0.018,,
112,0.018,,
113,0.017,,
114,0.018,,
115,0.017,,
116,0.017,,
117,0.019,,
118,0.017,,
119,0.016,,
120,0.016,,
121,0.017,,
122,0.017,,
123,0.017,,
124,0.017,,
125,0.017,,
126,0.017,,
127,0.016,,
128,0.016,,
129,0.017,,
130,0.017,,
131,0.017,,
132,0.017,,
133,0.018,,
134,0.019,,
135,0.018,,
136,0.018,,
137,0.018,,
138,0.018,,
139,0.019,,
140,0.018,,
141,0.018,,
142,0.017,,
143,0.017,,
144,0.018,,
145,0.018,,
146,0.018,,
147,0.018,,
148,0.017,,
149,0.017,,
150,0.018,,
151,0.018,,
152,0.017,,
153,0.018,,
154,0.017,,
155,0.017,,
156,0.017,,
157,0.017,,
158,0.018,,
159,0.018,,
160,0.017,,
161,0.017,,
162,0.017,,
163,0.017,,
164,0.016,,
165,0.016,,
166,0.016,,
167,0.017,,
168,0.017,,
169,0.017,,
170,0.017,,
171,0.017,,
172,0.017,,
173,0.016,,
174,0.016,,
175,0.017,,
176,0.018,,
177,0.018,,
178,0.018,,
179,0.018,,
180,0.018,,
181,0.017,,
182,0.016,,
183,0.017,,
184,0.017,,
185,0.017,,
186,0.017,,
187,0.018,,
188,0.016,,
189,0.017,,
190,0.017,,
191,0.018,,
192,0.018,,
193,0.017,,
194,0.018,,
195,0.017,,
196,0.017,,
197,0.017,,
198,0.017,,
199,0.017,,
200,0.018,,
201,0.018,,
202,0.017,,
203,0.017,,
204,0.016,,
205,0.017,,
206,0.018,,
207,0.017,,
208,0.017,,
209,0.016,,
210,0.017,,
211,0.017,,
212,0.018,,
213,0.017,,
214,0.018,,
215,0.019,,
216,0.018,,
217,0.017,,
218,0.016,,
219,0.016,,
220,0.017,,
221,0.017,,
222,0.016,,
223,0.017,,
224,0.017,,
225,0.017,,
226,0.017,,
227,0.017,,
228,0.017,,
229,0.017,,
230,0.017,,
231,0.018,,
232,0.017,,
233,0.016,,
234,0.017,,
235,0.018,,
236,0.018,,
237,0.017,,
238,0.016,,
239,0.016,,
240,0.017,,
241,0.018,,
242,0.018,,
243,0.017,,
244,0.017,,
245,0.017,,
246,0.018,,
247,0.017,,
248,0.017,,
249,0.018,,
250,0.018,,
251,0.017,,
252,0.017,,
253,0.018,,
254,0.018,,
255,0.017,,
256,0.017,,
257,0.017,,
258,0.016,,
259,0.016,,
260,0.017,,
261,0.017,,
262,0.018,,
263,0.019,,
264,0.016,,
265,0.017,,
266,0.018,,
267,0.018,,
268,0.017,,
269,0.017,,
270,0.017,,
271,0.017,,
272,0.016,,
273,0.016,,
274,0.016,,
275,0.017,,
276,0.017,,
277,0.018,,
278,0.017,,
279,0.017,,
280,0.017,,
281,0.017,,
282,0.017,,
283,0.017,,
284,0.019,,
285,0.020,,
286,0.018,,
287,0.017,,
288,0.017,,
289,0.017,,
290,0.016,,
291,0.016,,
292,0.017,,
293,0.018,,
294,0.017,,
295,0.017,,
296,0.017,,
297,0.016,,
298,0.016,,
299,0.016,,
300,0.017,,
301,0.017,,
302,0.017,,
303,0.017,,
304,0.017,,
305,0.017,,
306,0.016,,
307,0.016,,
308,0.017,,
309,0.016,,
310,0.016,,
311,0.017,,
312,0.016,,
313,0.016,,
314,0.016,,
315,0.017,,
316,0.017,,
317,0.016,,
318,0.017,,
319,0.018,,
320,0.018,,
321,0.017,,
322,0.017,,
323,0.018,,
324,0.018,,
325,0.017,,
326,0.017,,
327,0.017,,
328,0.018,,
329,0.018,,
330,0.016,,
331,0.016,,
332,0.018,,
333,0.018,,
334,0.017,,
335,0.017,,
336,0.017,,
337,0.017,,
338,0.017,,
339,0.017,,
340,0.017,,
341,0.017,,
342,0.016,,
343,0.016,,
344,0.016,,
345,0.016,,
346,0.017,,
347,0.017,,
348,0.015,,
349,0.016,,
350,0.017,,
351,0.018,,
352,0.018,,
353,0.017,,
354,0.018,,
355,0.019,,
356,0.017,,
357,0.016,,
358,0.016,,
359,0.017,,
360,0.017,,
361,0.017,,
362,0.016,,
363,0.017,,
364,0.017,,
365,0.016,,
366,0.016,,
367,0.017,,
368,0.017,,
369,0.017,,
370,0.017,,
371,0.017,,
372,0.017,,
373,0.017,,
374,0.016,,
375,0.016,,
376,0.016,,
377,0.018,,
378,0.017,,
379,0.016,,
380,0.017,,
381,0.018,,
382,0.017,,
383,0.018,,
384,0.017,,
385,0.016,,
386,0.016,,
387,0.016,,
388,0.016,,
389,0.016,,
390,0.018,,
391,0.018,,
392,0.017,,
393,0.016,,
394,0.016,,
395,0.017,,
396,0.016,,
397,0.016,,
398,0.016,,
399,0.015,,
400,0.018,,
401,0.018,,
402,0.016,,
403,0.016,,
404,0.016,,
405,0.016,,
406,0.016,,
407,0.016,,
408,0.017,,
409,0.017,,
410,0.017,,
411,0.017,,
412,0.017,,
413,0.017,,
414,0.018,,
415,0.017,,
416,0.018,,
417,0.018,,
418,0.017,,
419,0.017,,
420,0.018,,
421,0.018,,
422,0.017,,
423,0.017,,
424,0.016,,
425,0.016,,
426,0.016,,
427,0.016,,
428,0.015,,
429,0.016,,
430,0.016,,
431,0.015,,
432,0.015,,
433,0.016,,
434,0.016,,
435,0.016,,
436,0.017,,
437,0.016,,
438,0.016,,
439,0.015,,
440,0.015,,
441,0.016,,
442,0.016,,
443,0.016,,
444,0.017,,
445,0.017,,
446,0.016,,
447,0.017,,
448,0.017,,
449,0.018,,
450,0.017,,
451,0.016,,
452,0.017,,
453,0.017,,
454,0.017,,
455,0.018,,
456,0.017,,
457,0.015,,
458,0.015,,
459,0.016,,
460,0.016,,
461,0.016,,
462,0.016,,
463,0.016,,
464,0.016,,
465,0.016,,
466,0.017,,
467,0.016,,
468,0.016,,
469,0.017,,
470,0.016,,
471,0.016,,
472,0.016,,
473,0.015,,
