Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530094612
Firmware Version,2.10
Calibration Date,06/19/2012
Test Name,8530B_2-5_006
Test Start Time,02:48:00 PM
Test Start Date,12/18/2012
Test Length [D:H:M],0:1:12
Test Interval [M:S],0:1
Mass Average [mg/m3],0.007
Mass Minimum [mg/m3],0.000
Mass Maximum [mg/m3],1.61
Mass TWA [mg/m3],0.001
Photometric User Cal,1.00
Flow User Cal,1.00
Errors,Flow Error
Number of Samples,4334

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
1,0.002,,
2,0.004,,
3,0.004,,
4,0.003,,
5,0.003,,
6,0.002,,
7,0.003,,
8,0.003,,
9,0.004,,
10,0.003,,
11,0.004,,
12,0.004,,
13,0.004,,
14,0.004,,
15,0.004,,
16,0.003,,
17,0.003,,
18,0.003,,
19,0.003,,
20,0.004,,
21,0.005,,
22,0.003,,
23,0.003,,
24,0.003,,
25,0.003,,
26,0.003,,
27,0.003,,
28,0.004,,
29,0.004,,
30,0.005,,
31,0.005,,
32,0.005,,
33,0.004,,
34,0.003,,
35,0.003,,
36,0.004,,
37,0.002,,
38,0.003,,
39,0.004,,
40,0.007,,
41,0.010,,
42,0.000,,
43,0.000,,
44,0.000,,
45,0.000,,
46,0.000,,
47,0.000,,
48,0.000,,
49,0.000,,
50,0.000,,
51,0.000,,
52,0.000,,
53,0.012,,
54,0.020,,
55,0.000,,
56,0.000,,
57,0.000,,
58,0.000,,Flow Error
59,0.000,,Flow Error
60,0.000,,Flow Error
61,0.001,,Flow Error
62,0.000,,Flow Error
63,0.000,,Flow Error
64,0.000,,Flow Error
65,0.000,,Flow Error
66,0.000,,Flow Error
67,0.000,,Flow Error
68,0.000,,Flow Error
69,0.000,,Flow Error
70,0.000,,Flow Error
71,0.000,,Flow Error
72,0.000,,Flow Error
73,0.000,,Flow Error
74,0.000,,Flow Error
75,0.000,,Flow Error
76,0.000,,Flow Error
77,0.000,,Flow Error
78,0.000,,Flow Error
79,0.000,,Flow Error
80,0.000,,Flow Error
81,0.000,,Flow Error
82,0.000,,Flow Error
83,0.000,,Flow Error
84,0.000,,Flow Error
85,0.000,,Flow Error
86,0.000,,Flow Error
87,0.000,,Flow Error
88,0.000,,Flow Error
89,0.041,,Flow Error
90,0.002,,Flow Error
91,0.001,,Flow Error
92,0.004,,Flow Error
93,0.005,,Flow Error
94,0.000,,Flow Error
95,0.001,,Flow Error
96,0.000,,Flow Error
97,0.027,,Flow Error
98,0.050,,Flow Error
99,0.793,,Flow Error
100,0.000,,Flow Error
101,0.000,,Flow Error
102,0.000,,Flow Error
103,0.000,,Flow Error
104,0.023,,Flow Error
105,0.000,,Flow Error
106,0.000,,Flow Error
107,0.000,,Flow Error
108,0.000,,Flow Error
109,0.000,,Flow Error
110,0.000,,Flow Error
111,0.000,,Flow Error
112,0.000,,Flow Error
113,0.000,,Flow Error
114,0.032,,Flow Error
115,0.042,,Flow Error
116,0.000,,Flow Error
117,0.000,,Flow Error
118,0.000,,Flow Error
119,0.000,,Flow Error
120,0.000,,Flow Error
121,0.008,,Flow Error
122,0.008,,Flow Error
123,0.003,,Flow Error
124,0.000,,Flow Error
125,0.000,,Flow Error
126,0.000,,Flow Error
127,0.000,,Flow Error
128,0.000,,Flow Error
129,0.002,,Flow Error
130,0.003,,Flow Error
131,0.004,,Flow Error
132,0.003,,
133,0.003,,
134,0.004,,
135,0.004,,
136,0.004,,
137,0.004,,
138,0.004,,
139,0.004,,
140,0.004,,
141,0.004,,
142,0.003,,
143,0.003,,
144,0.004,,
145,0.004,,
146,0.004,,
147,0.004,,
148,0.004,,
149,0.005,,
150,0.004,,
151,0.004,,
152,0.005,,
153,0.005,,
154,0.005,,
155,0.005,,
156,0.004,,
157,0.004,,
158,0.004,,
159,0.004,,
160,0.004,,
161,0.004,,
162,0.004,,
163,0.004,,
164,0.005,,
165,0.004,,
166,0.006,,
167,0.008,,
168,0.004,,
169,0.003,,
170,0.004,,
171,0.004,,
172,0.005,,
173,0.006,,
174,0.005,,
175,0.005,,
176,0.004,,
177,0.004,,
178,0.005,,
179,0.005,,
180,0.004,,
181,0.004,,
182,0.004,,
183,0.004,,
184,0.004,,
185,0.005,,
186,0.004,,
187,0.004,,
188,0.005,,
189,0.004,,
190,0.004,,
191,0.004,,
192,0.004,,
193,0.004,,
194,0.004,,
195,0.005,,
196,0.005,,
197,0.004,,
198,0.006,,
199,0.006,,
200,0.005,,
201,0.004,,
202,0.005,,
203,0.006,,
204,0.004,,
205,0.004,,
206,0.005,,
207,0.005,,
208,0.006,,
209,0.006,,
210,0.005,,
211,0.005,,
212,0.005,,
213,0.005,,
214,0.003,,
215,0.004,,
216,0.004,,
217,0.004,,
218,0.004,,
219,0.003,,
220,0.001,,
221,0.000,,
222,0.000,,
223,0.000,,
224,0.000,,
225,0.002,,
226,0.004,,
227,0.004,,
228,0.004,,
229,0.004,,
230,0.004,,
231,0.004,,
232,0.005,,
233,0.004,,
234,0.004,,
235,0.006,,
236,0.006,,
237,0.006,,
238,0.005,,
239,0.004,,
240,0.005,,
241,0.005,,
242,0.005,,
243,0.005,,
244,0.004,,
245,0.004,,
246,0.004,,
247,0.005,,
248,0.004,,
249,0.004,,
250,0.004,,
251,0.005,,
252,0.007,,
253,0.007,,
254,0.006,,
255,0.006,,
256,0.006,,
257,0.006,,
258,0.006,,
259,0.005,,
260,0.005,,
261,0.005,,
262,0.004,,
263,0.004,,
264,0.005,,
265,0.005,,
266,0.004,,
267,0.004,,
268,0.003,,
269,0.001,,
270,0.112,,
271,0.130,,
272,0.003,,
273,0.004,,
274,0.004,,
275,0.004,,
276,0.004,,
277,0.003,,
278,0.004,,
279,0.004,,
280,0.005,,
281,0.005,,
282,0.004,,
283,0.004,,
284,0.004,,
285,0.004,,
286,0.004,,
287,0.004,,
288,0.004,,
289,0.005,,
290,0.007,,
291,0.007,,
292,0.005,,
293,0.006,,
294,0.004,,
295,0.004,,
